Name, Processor, RAM, Operating System, Display, Price 
Dell Inspiron 3000 Core M 6th Gen - (4 GB/500 GB HDD/Windows 10 Home) 3169 2 in 1 Laptop,Intel Core M Processor (6th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,11.6 inch Touchscreen Display,29990,
Lenovo Core i5 7th Gen - (8 GB/512 GB SSD/Windows 10 Home) Yoga 720 2 in 1 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,13 inch Touchscreen Display,90595,
Asus X Series Core i3 6th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) X541UJ-GO063 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,DOS Operating System,15.6 inch Display,31990,
Acer Aspire Core i5 7th Gen - (4 GB/1 TB HDD/Linux) E5-575 Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit Linux/Ubuntu Operating System,15.6 inch Display,33500,
Acer Core i3 6th Gen - (4 GB/128 GB SSD/Windows 10 Home) SA5-271-35BE 2 in 1 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,12 inch Touchscreen Display,48990,
HP 15 Core i5 6th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15-AY009TX Laptop,Intel Core i5 Processor (6th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,46980,
RDP ThinBook Atom Quad Core 8th Gen - (2 GB/32 GB EMMC Storage/Windows 10) 1130 Laptop,Intel Atom Quad Core Processor (8th Gen),2 GB DDR3 RAM,64 bit Windows 10 Operating System,11.6 inch Display,10499,
Dell Insprion Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10/2 GB Graphics) 3567 Laptop,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,60990,
Lenovo Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) IP 520 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,64715,
Asus Core i3 6th Gen - (4 GB/1 TB HDD/Endless/2 GB Graphics) X541UJ-GO459 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,Endless Operating System,15.6 inch Display,32639,
Lenovo G50-80 Core i3 5th Gen - (4 GB/1 TB HDD/DOS) G50-80 Laptop,Intel Core i3 Processor (5th Gen),4 GB DDR3 RAM,DOS Operating System,15.6 inch Display,26490,
Lenovo 310 Core i5 6th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) IP 310 Laptop,Intel Core i5 Processor (6th Gen),8 GB DDR4 RAM,DOS Operating System,15.6 inch Display,41990,
Acer Predator Helios 300 Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) G3...,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,99990,
Dell Inspiron 5000 Core i3 6th Gen - (4 GB/1 TB HDD/Linux/2 GB Graphics) 5559 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR3 RAM,Linux/Ubuntu Operating System,15.6 inch Display,33290,
Acer E Series Celeron Dual Core 4th Gen - (2 GB/500 GB HDD/Windows 10 Home) ES1-131-C8RL Laptop,Intel Celeron Dual Core Processor (4th Gen),2 GB DDR3 RAM,64 bit Windows 10 Operating System,11.6 inch Display,18690,
Acer Core i3 6th Gen - (4 GB/1 TB HDD/Linux) ES1-572-33M8 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,Linux/Ubuntu Operating System,15.6 inch Display,26999,
HP Pavilion x360 Core i7 7th Gen - (8 GB/1 TB HDD/8 GB SSD/Windows 10 Home/4 GB Graphics) 14-ba078tx 2...,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Touchscreen Display,82990,
HP x360 Core i5 7th Gen - (8 GB/1 TB HDD/8 GB SSD/Windows 10 Home/2 GB Graphics) 14-ba073TX 2 in 1 Lap...,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Touchscreen Display,72290,
Asus Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) FX553VD-DM013T Laptop,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,74990,
Dell Inspiron 5000 Core i5 7th Gen - (8 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) 5567 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,63990,
HP Pavilion Core i7 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 14-bf148TX Lapt...,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Display,82990,
HP 15 Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 15g-br010TX Laptop,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,66990,
MSI GV Series Core i7 7th Gen - (16 GB/1 TB HDD/128 GB SSD/Windows 10 Home/6 GB Graphics) GV62VR 7RF-1...,Intel Core i7 Processor (7th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,119990,
HP 14 Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 14-ar003TU Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,DOS Operating System,14 inch Display,29690,
Lenovo Yoga Book Atom Quad Core - (4 GB/64 GB EMMC Storage/Windows 10 Home) yb1-x91l 2 in 1 Laptop,Intel Atom Quad Core Processor,4 GB DDR3 RAM,64 bit Windows 10 Operating System,10.1 inch Touchscreen Display,49990,
MSI CX Core i7 7th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) CX62 7QL Laptop,Intel Core i7 Processor (7th Gen),4 GB DDR4 RAM,DOS Operating System,15.6 inch Display,53990,
Asus Core i7 7th Gen - (8 GB/1 TB HDD/Endless/4 GB Graphics) FX553VD-DM013 Gaming Laptop,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,Endless Operating System,15.6 inch Display,69990,
Acer Aspire APU Quad Core A10 5th Gen - (4 GB/1 TB HDD/Windows 10/2 GB Graphics) E5-553G Laptop,AMD APU Quad Core A10 Processor (5th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,33790,
HP Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 13-U132TU x360 2 in 1 Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,13.3 inch Touchscreen Display,66938,
Lenovo Ideapad Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 320E Laptop,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,58990,
Acer Nitro 5 Spin Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) NP515-51 Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Touchscreen Display,74990,
Dell Pentium Quad Core 4th Gen - (4 GB/500 GB HDD/Windows 10 Home) 3168 2 in 1 Laptop,Intel Pentium Quad Core Processor (4th Gen),4 GB RAM,64 bit Windows 10 Operating System,11.6 inch Touchscreen Display,32990,
Dell Inspiron 5000 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 5378 2 in 1 Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,13.3 inch Touchscreen Display,56990,
Acer ES 15 APU Quad Core A4 - (4 GB/500 GB HDD/Windows 10 Home) ES1-521-40L7/ES1-523-49C0 Laptop,AMD APU Quad Core A4 Processor,4 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,21990,
Acer E Series Core i3 6th Gen - (4 GB/1 TB HDD/Linux) Aspire E5-575-3203 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Linux/Ubuntu Operating System,15.6 inch Display,26790,
Lava Helium Atom Quad Core 7th Gen - (2 GB/32 GB EMMC Storage/Windows 10 Home) C121 Laptop,Intel Atom Quad Core Processor (7th Gen),2 GB DDR3 RAM,64 bit Windows 10 Operating System,12.5 inch Display,12999,
